Name	Smiles
STOLONIFERIN I	CCCCC[C@H]1CCCCCCCCCC(=O)O[C@@H]2[C@@H](O[C@@H]3O[C@@H](C)[C@H](O[C@@H]4O[C@@H](C)[C@H](OC(=O)[C@@H](C)CC)[C@@H](O)[C@H]4O)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H]3OC(=O)[C@@H](C)CC)[C@H](C)O[C@@H](O[C@@H]3[C@@H](O)[C@@H](O)[C@@H](C)O[C@H]3O1)[C@@H]2O
DIHYDROAAPTAMINE	COc1cc2c3c(ccnc3c1OC)NCC2
STILBOSTEMIN G	COc1cc(CCc2cccc(O)c2OC)cc(O)c1C
MEDIORESINOL	COc1cc([C@H]2OC[C@@H]3C(c4cc(OC)c(O)c(OC)c4)OC[C@H]23)ccc1O
PESCAPREIN I	CCCCCCCCCCCC(=O)O[C@H]1[C@H](O[C@H]2[C@H](C)O[C@H]3O[C@@H]4[C@@H](O)[C@@H](O)[C@@H](C)O[C@H]4O[C@@H](CCCCC)CCCCCCCCCC(=O)O[C@H]2[C@H]3O)O[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O
PESCAPREIN II	CCCCCCCCCCCC(=O)O[C@H]1[C@H](O[C@H]2[C@H](C)O[C@H]3O[C@@H]4[C@@H](O)[C@@H](O)[C@@H](C)O[C@H]4O[C@@H](CCCCC)CCCCCCCCCC(=O)O[C@H]2[C@H]3O)O[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](OC(=O)C(C)C)[C@@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O
CATHAFILINE	COC(=O)N1CCc2cc3c(c4c2[C@@H]1Cc1cc(O)c(OC)cc1-4)OCO3
FLUTAX 1	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](OC(=O)[C@H](C)NC(=O)c3ccc(-c4c5ccc(=O)cc-5oc5cc(O)ccc45)c(C(=O)O)c3)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
FLUTAX 2	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](OC(=O)[C@H](C)NC(=O)c3ccc(-c4c5cc(F)c(=O)cc-5oc5cc(O)c(F)cc45)c(C(=O)O)c3)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
THEONELLAPEPTOLIDE IIIE	CC[C@H](C)[C@H]1C(=O)NCCC(=O)N[C@H]([C@H](C)CC)C(=O)N(C)[C@@H]([C@@H](C)CC)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C(=O)[C@@H](C(C)C)N(C)C(=O)[C@@H](NC(=O)COC)C(C)C)[C@@H]([C@@H](C)O)C(=O)N(C)CCC(=O)N[C@H](C(C)C)C(=O)N1C
GSK-237700A	COc1cc2ncn(-c3cc(O[C@@H](C)c4ccccc4Cl)c(C(N)=O)s3)c2cc1OC
ENDO-EPIBOXIDINE	Cc1cc([C@@H]2C[C@H]3CC[C@H]2N3)on1
TEREZINE A	COc1nc(C(C)C)c(O)nc1[C@H](O)c1ccccc1
TEREZINE B	COC1=N[C@](OC)(C(C)C)C(=O)N[C@@]1(O)[C@H](O)c1ccccc1
DISTRONGYLOPHORINE	C[C@]12CC[C@H]3[C@@](C)(CC[C@H]4[C@@](C)(C(=O)O)CCC[C@@]43C)[C@@H]1Cc1cc(Oc3ccc(O)c4c3C[C@@H]3[C@@]5(C)CC[C@H]6[C@@](C)(CCC[C@@]6(C)C(=O)O)[C@@H]5CC[C@@]3(C)O4)ccc1O2
ERYSOVINE	COc1cc2c(cc1O)[C@]13C[C@@H](OC)C=CC1=CCN3CC2
MALEVAMIDE E	CNC(=O)C[C@H]1C(=O)N(C)[C@@H](C)C(=O)OC(C)CCC/C=C/CCC(OC)C/C=C/C=C(\C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N1C
DEACETYLDIHYDROBOTRYDIAL	C[C@@H]1C[C@H](O)[C@H]2C(C)(C)C[C@]3(C)CC[C@H](O)[C@@H]1[C@@]23O
NOCATHIACIN IV	CO/C(C)=C1/NC(=O)[C@H]([C@@H](C)O)NC(=O)c2csc(n2)-c2cc(O)c(-c3nc(C(N)=O)cs3)nc2-c2csc(n2)[C@@H]2COC(=O)c3c4c5c(cccc5n3O)COC(=O)[C@@H](O[C@H]3C[C@](C)(O)[C@H](N(C)C)[C@H](C)O3)[C@@H](OC4)[C@H](NC(=O)c3csc1n3)c1nc(cs1)C(=O)N2
INTERCEDENSIDE F	CO[C@@H]1[C@@H](O)[C@H](O[C@H]2[C@H](O)CO[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@H]4[C@H](O[C@H]5CC[C@]6(C)[C@@H]7CC[C@]89C(=O)O[C@@](C)(CCC=C(C)C)[C@@]8(O)[C@@H](OC(C)=O)C[C@@]9(C)C7=CC[C@H]6C5(C)C)OC[C@@H](OS(=O)(=O)[O-])[C@@H]4O)[C@H](O)[C@H]3O)[C@@H]2O)O[C@H](CO)[C@H]1O.[Na+]
COMMUNIOL E	CC[C@H](O)[C@@H]1C[C@H]2CC[C@H](CO)[C@H]2O1
SEPROXETINE	NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1
CLINAFLOXACIN HYDROCHLORIDE	Cl.NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1
VACCAROID C	CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(C(=O)O[C@@H]6O[C@H](CO[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@@H]5CC[C@]43C)[C@@H]2C1
MICROPEPTIN 88 E	CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)N[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]2CC[C@@H](O)N(C2=O)[C@@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O[C@@H]1C)C(=O)O
GORDONOSIDE F	C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C(C)=C\C)[C@@]2(CO)[C@@H](CC1(C)C)C1=CC[C@@H]3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@H]5O)[C@@](C)(C(=O)OC)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@H]2O
THIAZOMYCIN E2	C=C(NC(=O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(=O)N[C@@H]([C@@H](C)O)C(=O)N/C(=C(\C)OC)c2nc(cs2)C(=O)N[C@@H]([C@H](O)[C@H](O)C(=O)O)c2nc(cs2)C(=O)N[C@@H](CO)c2nc-3cs2)n1)C(N)=O
PROXIMICIN C	COC(=O)Nc1coc(C(=O)Nc2coc(C(=O)NCCc3c[nH]c4ccccc34)c2)c1
LESPEFLORIN G12	COc1ccc2c(c1)OC[C@H]1c3cc(O)c4c(c3O[C@@H]21)C=CC(C)(C)O4
DIANVERSICOSIDE D	CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](COC(=O)C[C@@](C)(O)CC(=O)O)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@@H]2C1
N-BENZYLANILINE	c1ccc(CNc2ccccc2)cc1
CORALGIL	CCC(c1ccc(OCCN(CC)CC)cc1)C(CC)c1ccc(OCCN(CC)CC)cc1
FATOSTATIN	CCCc1cc(-c2nc(-c3ccc(C)cc3)cs2)ccn1
CLOFARABINE TRIPHOSPHATE	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]1F
TAZAROTENIC ACID	CC1(C)CCSc2ccc(C#Cc3ccc(C(=O)O)cn3)cc21
UR-4501	O=C(O)CC1=C(S)CCN(Cc2ccccc2Cl)C1
2-OXOCLOPIDOGREL	O=C(O)/C=C1\CN([C@H](C(=O)O)c2ccccc2Cl)CCC1S
OMEPRAZOLE CYCLIC SULFENAMIDE	COc1ccc2nc3n(c2c1)SCc1c(C)c(OC)c(C)c[n+]1-3
FLUDOXOPONE	O=c1oc(CCN2CCN(c3ccccc3)CC2)c(-c2ccc(F)cc2)o1
NORWEBERINE	COc1c2c(c(OC)c(OC)c1OC)CNCC2.Cl
CASSIARIN A BENZYL ETHER	Cc1cc2cc(OCc3ccccc3)cc3oc(C)cc(n1)c23
7-DEHYDROXYCASSIARIN A	Cc1cc2cccc3oc(C)cc(n1)c23
GABABUTIN	NCC1(CC(=O)O)CCCC1
DIDEMNIN C	CC[C@H](C)[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)O)[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@@H]1O
2-(PHENYLTHIOMETHYL)BENZO[D]THIAZOLE	c1ccc(SCc2nc3ccccc3s2)cc1
PONAPENSIN	COc1ccc([C@@]23Oc4cc(OC)cc(OC)c4[C@@](O)([C@@H]2O)[C@H](C(=O)N2CCC[C@@H]2OC)[C@H]3c2ccccc2)cc1
(+/-)-VARITRIOL	COc1cccc(/C=C/C2OC(C)C(O)C2O)c1CO
OKHOTOSIDE B2	C=C(C)CCC[C@]1(C)OC(=O)C23CC[C@H]4C(=CC[C@H]5C(C)(C)C(O[C@@H]6OC[C@@H](OS(=O)(=O)[O-])[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](OC)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)CC[C@]45C)[C@]2(C)C[C@H](OC(C)=O)C31.[Na+].[Na+]
MICROPEPTIN 103	CCCCCC(=O)NCC(=O)N[C@H](C(=O)N[C@@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]2CC[C@@H](O)N(C2=O)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](C(C)C)C(=O)O[C@@H]1C)[C@@H](C)O
DERRONE	CC1(C)C=Cc2c(cc(O)c3c(=O)c(-c4ccc(O)cc4)coc23)O1
TEMPAMINE	CC1(C)CC(N)CC(C)(C)N1[O]
AMIPHIDINOL 2	C=CCC/C=C/C=C/C=C/CC/C=C\C(O)C(O)C1OC(C(O)C(O)C(=C)CCC(O)C2CC(O)C(O)C(C(O)C(O)/C=C(/C)CCC(O)CC(O)C(O)C(C)CC(O)CC(C)/C=C(\C)CC(O)CC(C)CC(O)C3CC(O)C(O)C(CC(O)CC(O)CO)O3)O2)CC(O)C1O
LEVOPROTILINE	CNC[C@H](O)CC12CCC(c3ccccc31)c1ccccc12
(S)-BUFURALOL	CCc1cccc2cc([C@@H](O)CNC(C)(C)C)oc12
R-FENOPROFEN	C[C@@H](C(=O)O)c1cccc(Oc2ccccc2)c1
CASSIARIN C	Cc1cc2cc(O)cc3c2c(n1)CC(C)O3
(S)-NORDULOXETINE	NCC[C@H](Oc1cccc2ccccc12)c1cccs1
HUZHANGOSIDE B	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@]6(C(=O)O[C@@H]6O[C@H](CO[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]45C)C3(C)C)OC[C@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@@H](O)[C@H]2O)[C@H]1O
AZAISOFLAVONE	CCn1cc(-c2ccc(O)cc2)c(=O)c2c(O)cc(O)cc21
(R)-LORMETAZEPAM	CN1C(=O)[C@@H](O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21
(S)-PROCYCLIDINE	O[C@](CCN1CCCC1)(c1ccccc1)C1CCCCC1
BRANDISIANIN D	COc1cc(-c2coc3c4c(cc(O)c3c2=O)O[C@@](C)(CO)C=C4)c(OC)cc1O
ERYTHRIBYSSIN H	COc1cc([C@@H]2COc3cc(O)ccc32)c(OC)cc1O
DIPLOTRIN A	COc1cc(O)c(-c2oc3c(OC)c(OC)ccc3c(=O)c2OC)cc1O
DILEVALOL	C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
ERYSOTRINE	COc1cc2c(cc1OC)[C@]13C[C@@H](OC)C=CC1=CCN3CC2
ORIDAMYCIN A	C[C@]12CC[C@H](O)[C@](C)(C(=O)O)[C@@H]1CCc1cc3[nH]c4ccccc4c3cc12
16-O-METHYLSESTERSTATIN 4	CO[C@@H]1C[C@@H]2[C@@](C)(c3cocc31)[C@H](O)C[C@@H]1[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]21C
OLEYLPHOSPHONOCHOLINE	CCCCCCCC/C=C\CCCCCCCCOP(=O)(O)OCC[N+](C)(C)C.[Br-]
POLYMYXIN M/A	CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
CYCLOHEXANE BUTYRIC ACID POLYMIXIN B	CC(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCC2CCCCC2)[C@@H](C)O)CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC1=O
CYCLOHEXAN BUTYRIC ACID COLISTIN	CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCC2CCCCC2)[C@@H](C)O)CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC1=O
CYCLODODECANE CARBOXYLIC ACID COLISTIN	CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)C2CCCCCCCCCCC2)[C@@H](C)O)CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC1=O
DECANOYL POLYMIXIN B NONAPEPTIDE	CCCCCCCCCC(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
HEXANOYL FATTY ACYL POLYMYXIN B	CCCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
DIMETHYL DAB9 POLYMYXIN B	CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
L-ALPHA-NH2-OCTANOYL DAB9 POLYMYXIN B	CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNC(N)CCCCCCC)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
DICHLOROACETYL DAB9 POLYMYXIN B	CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNC(=O)C(Cl)Cl)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
POLYANIONIC POLYMYXIN B1	CCC(C)CCCCC(=O)N[C@@H](CCNC(=O)CCCCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCNC(=O)CCCCC(=O)O)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNC(=O)CCCCC(=O)O)NC(=O)[C@H](CCNC(=O)CCCCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCCNC(=O)CCCCC(=O)O)NC1=O)[C@@H](C)O
3-COUMARANONE	O=C1COc2ccccc21
AMPHIDINOL 4	C=CCC/C=C/C=C/C=C/CC/C=C/[C@@H](O)[C@@H](O)C1O[C@@H]([C@H](O)[C@H](O)C(=C)CCC(O)[C@H]2C[C@@H](O)[C@@H](O)C([C@@H](O)[C@H](O)/C=C(\C)CC[C@H](O)C[C@H](O)[C@@H](O)[C@@H](C)C[C@H](O)[C@@H](O)CCCCCC(O)CCC[C@@H](O)/C=C/C[C@@H](O)/C=C/C[C@H](O)CO)O2)CC(O)C1O
AGLAMIDE C	CC(C)CC(=O)NC1CCCN1C(=O)/C=C/c1ccccc1
CYANOPEPTOLIN 1020	CCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2CC[C@@H](O)N(C2=O)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)O[C@@H]1C
DIBROMOAGELIFERIN	Nc1nc([C@@H]2c3[nH]c(N)nc3C[C@H](CNC(=O)c3[nH]cc(Br)c3Br)[C@H]2CNC(=O)c2cc(Br)c(Br)[nH]2)c[nH]1
ORIZABIN VII	CCCCC[C@H]1CCCCCCCCCC(=O)O[C@@H]2[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)[C@H](C)O[C@@H](O[C@H]3[C@@H](O[C@H](COC(=O)[C@H](C)[C@@H](C)O)[C@@H](O)[C@@H]3O)O[C@@H]3[C@@H](O)[C@H](O)[C@@H](C)O[C@H]3O1)[C@@H]2OC(=O)[C@@H](C)CC
DECIDIUM	C[N+](C)(C)CCCCCCCCCC[n+]1c(-c2ccccc2)cc(N)c2ccc3ccc(N)cc3c21.[Cl-].[Cl-]
OBTUSAFURAN	COc1cc2c(cc1O)[C@@H](C)[C@H](c1ccccc1)O2
PUNICACORTEIN C	O=C1O[C@H]([C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)OC[C@H]2O)[C@@H]2OC(=O)c3c(c(O)c(O)c(O)c3[C@H]2O)-c2c1cc(O)c(O)c2O
CLAVIGERIN A	CC(=O)OC(C(=O)C=C(C)C)[C@]12[C@@H](OC(C)=O)O[C@@H]3C=C(C)[C@H]1C[C@@H]32
GOMISIN O	COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@H](C)[C@H]2O
XYLOKETAL B ACID	C[C@H]1CO[C@]2(C)Oc3c(c(O)c(C(=O)O)c4c3C[C@@H]3[C@@H](C)CO[C@]3(C)O4)C[C@H]12
